"mz","rt","height","intensity"
217.104537963867,0.39916257,6759189,20056851.1356519
217.111022949219,11.662345,1013248.8125,3888017.70739968
217.110900878906,11.247421,1166111,4693797.48922497
217.11100769043,12.717632,1127162,2644875.82791845
217.110946655273,11.135046,1166076.125,2505549.03232775
217.104507446289,6.1375061,345494.59375,1182968.93780015
217.10457611084,6.8722669,282136.09375,1298106.13771758
217.104553222656,5.8522457,359857.125,668218.110886869
217.110908508301,10.65529,924646.5625,2361106.93214622
217.104545593262,6.729637,357526.96875,734881.398650668
217.104583740234,5.4589325,412862.71875,1171627.38424351
217.104583740234,13.341631,454961.875,1203007.97359684
217.104522705078,6.0467414,347078.90625,892765.919751516
217.104537963867,6.3492899,267137.84375,678968.334862357
218.069732666016,11.882774,1229033.625,3318236.32073633
218.069747924805,11.351152,1317262.5,5127168.65930529
218.069869995117,11.636412,1284131.625,5366683.00796064
218.069931030273,12.708987,861908.875,2003926.20696565
218.069763183594,10.966483,1240218.625,3595724.75356595
218.069869995117,9.704422,1056456.875,2813173.69097831
218.069747924805,12.025404,901624.4375,1519425.9369347
218.06982421875,11.580225,1373903,3553822.13849437
218.069763183594,9.9291725,956408.1875,2996202.52699574
218.069778442383,11.091825,1187911.125,2831029.3776188
218.06982421875,0.5210322,150605.453125,588982.770405106
218.069816589355,1.2302882,176423.21875,681885.68939421
218.069778442383,14.377124,149317.375,645573.669512822
218.06982421875,1.0444368,161436.03125,392400.834542087
218.069854736328,1.3556297,168659.0625,547268.82350986
218.069869995117,1.5976687,168344.09375,447431.734789055
218.106307983398,12.717632,3458446.5,13804629.031153
218.106155395508,11.342508,3867743.75,16929243.9842135
218.106216430664,10.979449,4487815.5,11760396.1116378
218.108001708984,0.40348469,485091.5625,1177639.75019977
218.211303710938,0.44713397,610781.1875,1634191.64206333
219.090301513672,12.708987,3670170.25,10068666.5736375
219.090270996094,11.645057,3456802.25,15744540.1907438
219.090225219727,11.537004,3455700,8496996.48778513
219.096557617188,0.38619658,243817.65625,554400.577841705
219.109680175781,12.704665,381208.3125,1026852.7101921
219.109558105469,10.499693,396152.15625,1749126.41036206
219.109527587891,9.6828112,501392.8125,855481.626532293
219.109512329102,6.4659876,220623.375,529493.961569647
219.109664916992,7.3433789,229393.734375,1066405.34722234
219.109680175781,8.6885471,329437.40625,1356414.20701473
219.109512329102,5.9473324,216284.21875,458114.029790626
219.109573364258,10.179856,424578.71875,1237154.71768169
