"mz","rt","peaktable_1_6a93145d1bc48e797ae1f779eae404e0 intensity","peaktable_2_2ad96385d4e11b01c12368cf109cff67 intensity"
248.004669189453,18.5633685,276130.746906902,959564.29483687
248.977310180664,25.558429,109838.774917555,NA
249.001525878906,19.166006,534663.707203121,879261.967235649
249.016418457031,25.343026,NA,564712.162231867
249.925704956055,24.872413,186383.533963468,231494.639604143
250.118667602539,1.2923702,NA,156290.049390439
250.177787780762,5.7320974,226358.479886652,132126.547841636
250.941398620605,10.3815005,498834.069524531,354981.437896866
250.949142456055,25.532497,375497.153339658,NA
251.046806335449,3.7078633,421276.977851964,510514.268244235
251.136665344239,0.77838131,347369.744078066,296656.374416434
251.969734191895,25.281813,398756.546360856,456357.846779517
252.019546508789,26.701972,1429395.59097946,NA
252.019683837891,25.7310325,1089363.03327934,202395.595758402
252.124221801758,16.808455,317153.888850945,139535.470844529
252.207092285156,0.90962367,NA,128937.132248298
252.939544677734,9.4241496,431067.676758541,342819.250643925
252.939682006836,12.824874,194930.954814373,346930.139913289
253.060886383056,0.760384115,87454.9181820048,63609.0285914625
253.141265869141,24.6490885,NA,215820.171901171
253.165969848633,0.6938935,NA,114097.252589217
254.823684692383,24.668071,578719.390936872,NA
254.937713623047,11.8570165,86922.8063568205,60279.9910221217
254.98274230957,8.0449663,75879.3039032221,163209.265470581
254.996585845947,26.0182825,82612.7237454717,114108.674924646
255.103588104248,24.4930255,194461.176885807,NA
255.13395690918,0.72498482,NA,87455.0781074148
255.193084716797,25.009519,684833.2024008,NA
255.980606079102,3.575131,77668.9645724663,93398.8127231867
256.964477539062,11.464536,1244981.93325097,986308.787381249
256.96475982666,11.7089455,816590.224216886,1194289.59145685
257.079467773438,2.405409,50742.6261415247,473077.623642375
257.079833984375,0.7813652,50282.1056928512,NA
257.135955810547,0.90075293,399862.509865589,394427.205268349
258.082916259766,0.9248487,NA,111361.098854959
258.101318359375,14.94231,369174.454769317,386566.571085943
258.110168457031,3.5413106,412143.302853018,89990.7150113093
258.137634277344,22.044435,4800939.68763018,3640606.51249703
258.817886352539,24.936043,276254.120967794,NA
259.066497802734,23.946277,810308.043624136,78247.2335370457
259.074890136719,2.8873354,NA,80298.3246055249
259.096656799317,9.7396647,253654.138848749,209700.453992181
259.115196228028,0.8384051,392071.480046256,270259.882226502
259.141052246094,17.4595265,464385.677529353,368763.883803281
259.151657104492,0.864108055,333371.39499604,319715.296397334
260.001312255859,25.627584,338271.480148935,NA
260.078201293945,0.59013385,NA,92952.0705519382
260.080596923828,14.17943,418192.516987735,233381.910289193
260.117004394531,22.027253,279931.792869145,392981.440194604
260.153381347656,21.115284,103768.874443869,5302516.44243758
260.925994873047,0.6560233,118770.701230246,57109.3457301888
260.963470458984,0.83266935,213725.776820629,210497.859493247
261.072525024414,0.832148225,NA,190530.96399211
261.109756469726,1.0311328,280432.678402867,251568.080406129
261.120300292969,11.777925,602381.871140172,1929393.57006565
261.130905151367,11.0539345,150469.211302734,459841.32730523
261.156677246094,11.663405,137387.455370836,203214.233662738
261.184951782227,4.7713708,192266.804175414,1019596.30095104
261.221405029297,1.1273273,NA,91054.9518763887
261.997528076172,2.563504675,129092.175852525,55413.7245213457
262.134269714355,0.7939371,832224.636040101,1076350.06939761
262.149566650391,22.923159,NA,1563266.05119566
262.149932861328,12.329381,115373.470907484,275738.259343121
