"mz","rt","peaktable_1_b42ad67b5ffa65aaea420c60e1fab6b3 intensity","peaktable_2_54a6a55e44fb729a4104bfde9fdb6f9b intensity","peaktable_3_0f741699b76aff9fee4822748a201952 intensity","peaktable_4_46f664aac7a03c653f55ebe81c0750b7 intensity","peaktable_5_57332589ab361972997280ada9fa3ddf intensity"
240.065734863281,6.7005794,413150.198925822,219400.633164826,297806.243661819,369792.897350871,663824.908636426
240.232551574707,0.33408766,1615023.52397502,1646395.33259768,1665463.95372836,1559847.10171756,1775386.92608858
241.026031494141,0.846261135,390436.817688489,588685.797799062,557389.194649187,480702.479924913,210193.798658717
241.036109924316,6.4974408,200768.662632056,1724314.29302121,1422344.81285877,1141782.65133045,1204647.3740465
241.049652099609,0.82249017,645133.944309649,396816.947477388,504246.630133776,560916.479124382,687282.220397978
241.050140380859,6.674648,797813.310804526,NA,NA,NA,NA
241.086334228516,3.60811945,4688953.66044523,5874337.02196838,5906840.01156899,6458652.70434817,3536988.32006942
241.122497558594,3.51951475,441916.858694698,4187149.38075319,6057055.34834981,623200.348753045,5599189.44092283
241.23583984375,0.36002115,NA,NA,NA,NA,221824.840025955
242.023452758789,0.597738495,188795.251969666,166157.148263626,219307.689126036,161498.658788555,192862.686754114
242.089645385742,0.93054206,359779.136073049,659971.932103768,544429.521021479,563174.235387512,509549.382643083
242.126083374023,6.5752389,925312.514793243,825941.131914795,753752.336374682,859582.031812476,950599.235101038
242.96208190918,0.21739032,518916.73949685,662513.670634678,737324.062337643,698437.195138913,693441.665020669
243.119453430176,6.6530362,375818.900985117,296548.719768784,291424.389980241,218985.314835301,321355.338480047
243.207214355469,6.6184605,159793.922252037,176224.725990798,212394.777187874,315614.569997627,330417.826984625
244.139743804932,5.09058675,376589.879474733,313610.081281004,325092.460818329,2058066.80725664,2128540.9871528
244.932739257812,6.6206202,101491.08633539,265515.423010368,264617.418300705,273296.08947015,234518.282064676
244.954376220703,5.26563405,3175677.15803043,3692262.65498494,5661341.84372888,5092646.86399481,3175475.54951941
245.07942199707,6.6832915,176303.065327643,416677.583345143,289441.811294225,264517.226796962,219765.417008822
245.099533081055,0.99541432,204170.921924976,393424.474132349,416539.125720098,555926.992982269,NA
245.100021362305,6.5925275,194947.20527415,321612.007367532,194631.005869017,387254.690448959,373019.886651002
245.115478515625,0.2433643,375497.547780244,602315.800292932,572498.983702666,657574.875703747,597688.442052673
245.966430664062,6.65972875,NA,NA,165105.03678398,182454.673948349,NA
246.137382507325,6.5687754,250168.920884416,191688.619523913,NA,NA,NA
246.923904418945,6.5276959,1676015.84455583,1257113.20829814,943223.70489245,1584362.27006929,1244051.53992064
246.951461791992,5.8880213,1649849.99085893,1512041.5940289,2960477.62906255,1431996.67091926,1926246.23791146
247.004089355469,6.4974408,299345.824851258,352292.597436039,309943.1633181,455362.067053592,555270.304382179
248.004821777344,6.5882055,128926.314390317,NA,NA,NA,NA
250.119018554688,0.35137877,765657.979636036,1802989.72115727,2043348.87035114,1786711.14639718,1593307.10983575
250.941741943359,6.6357487,NA,NA,NA,145236.758172952,NA
250.949249267578,6.5190516,1201465.36926552,1141616.40329113,1241061.97178492,1037573.28974053,1073714.76997404
251.046859741211,0.81384568,NA,NA,NA,180652.041991921,278334.867110602
251.200698852539,6.6314258,NA,NA,NA,NA,150567.296720261
252.138397216797,0.29086868,NA,976629.769440426,761846.050873826,678554.349445865,NA
252.268707275391,4.122433,3148507.50277556,NA,NA,2232101.6908109,NA
253.066162109375,2.8106662,NA,NA,NA,NA,1517055.33338213
254.823738098145,6.2986218,2484958.03064008,3105941.25336715,5859898.42720369,6349000.47663997,3099097.72597349
254.996719360352,6.8850671,342976.073327349,227131.765935879,338495.724648338,261531.557235157,252453.841946038
255.231887817383,1.34546705,NA,NA,NA,315380.967114657,NA
255.980484008789,6.8660253,290434.545552,296583.341077952,226472.243152244,126037.113538313,230657.538932225
256.820739746094,6.30944795,1915125.40797704,6860501.19106008,9272479.74673028,8164813.69008648,8563542.88521598
256.964416503906,7.1296747,NA,NA,NA,274901.326328577,NA
256.964965820312,6.74186145,286530.397330584,252257.600418679,292569.081850061,431723.47307821,193417.293763738
