"mz","rt","peaktable_1_6b90e8c752d870980615d885cf6a8cb2 intensity","peaktable_2_80d57e6d648fd28c65648c9d92fff215 intensity","peaktable_3_a485962c3a167c541bcf4e4788708084 intensity","peaktable_4_e9b20dded3643d2f592ac7a5948734bf intensity","peaktable_5_941bba646ae229c9ebaeb2164492f0cc intensity"
275.146545410156,6.5277076,NA,557657.257666639,NA,NA,NA
275.159591674805,0.34706898,2103039.70260096,2460157.72437627,2576651.01549128,2884952.28110116,3445732.8071931
276.162872314453,0.33840783,NA,NA,NA,NA,374147.39650687
277.126083374024,6.5384941,890943.440563466,NA,780671.014388126,710356.348453809,896624.254669111
277.169036865234,6.4801486,NA,NA,1446757.9047856,NA,NA
277.21647644043,5.6546229,7758019.05652281,6143018.24370937,10674567.9814,4782507.19567351,10623588.7622835
278.219451904297,4.85286765,NA,NA,NA,NA,1709430.12715342
278.219787597656,2.8149856,1041509.04050471,441120.7139042,2504413.30369156,1085529.30477126,628255.360768453
279.148101806641,5.330464,1954652.7913588,3785809.4367237,1789410.94563432,1580844.36502312,3232547.63220582
279.184539794922,5.3628868,2637763.99618889,1415028.88698666,802329.706743284,2830965.46842275,1811816.09015581
280.954498291016,2.473538,4625475.06216993,386340.864178992,4513819.20690245,283191.402153216,253913.155943368
281.952407836914,2.2271709,1561420.43954809,294234.943743485,458295.642920767,621462.041756836,333680.802477703
282.062835693359,6.601168,314543.472794176,913601.540943121,996710.15389912,992453.671524207,868006.625223592
282.950042724609,6.4974529,1983546.47421914,1784504.36316959,NA,NA,1359169.99411257
283.175384521484,1.6523342,750736.476790124,753612.731421244,610880.655298912,681036.100997058,585004.499664648
283.263366699219,1.8727639,437414.721023927,814020.420536329,857440.269443911,707092.32932932,931150.412422493
284.331344604492,1.0169985,2309011.57559083,2133576.46568674,2363683.39328235,2151492.36961323,2406682.30383016
284.972625732422,2.9014447,1120116.14999897,1175002.32527249,1262467.53987366,1228325.56409085,1140296.30269781
286.9429397583,6.58171875,NA,NA,NA,583034.87732865,441598.458762828
286.948272705078,6.4801489,6110194.32042937,4810684.04902776,5197528.80864151,5550575.25735109,5584214.65712419
288.289855957031,5.637334,736182.317154174,576557.985127167,546003.221551913,476470.449665456,404921.613599545
288.945159912109,6.4801489,3503627.93326704,3288275.54397984,2939043.59087701,3545771.80035957,3085889.02900971
288.992401123047,6.5665909,1196373.96564989,1439440.49657704,1271718.05107003,1321088.2586032,1184637.0313395
289.126129150391,6.60982025,NA,319711.421689621,711167.026288877,762113.523590293,NA
289.216400146484,0.29950875,NA,NA,NA,NA,472884.470769766
290.944030761719,6.46717885,2562302.46713045,NA,NA,2100499.76785703,NA
292.959899902344,5.6005894,414998.394633375,301872.872199797,356655.323151186,527153.496841584,425774.617628776
297.007415771484,0.68418625,677478.034990615,377964.542696655,896525.451527936,904443.56771318,810731.979985348
297.991455078125,1.04723758,960664.463378471,1405599.70046798,1717643.81243095,1103201.75528262,2734368.93910405
298.347137451172,0.71443418,503709.83561229,5796210.25882309,515368.464241828,5399162.44840403,5853633.44143437
299.350387573242,0.71011065,1058031.49061684,1046621.53504554,1087915.33529194,1041065.05067883,992891.399811218
300.201965332031,1.3757188,347880.894599762,276345.726910339,406683.113623384,426224.619870422,351153.226353633
300.278060913086,1.2374109,441671.421621174,540191.874013713,639722.457198302,433647.904487286,337275.403953753
302.912933349609,6.4498901,2706588.24840581,NA,NA,NA,2416794.07364841
302.974304199219,3.5497468,581329.577652105,650572.792944178,1150580.07108375,4253038.8531731,1532207.97037171
303.141754150391,3.8803877,526868.751797951,714721.501215258,407054.845130299,447212.652991733,393121.749737061
304.008331298828,4.94363275,3953918.29956522,3541204.99603216,2900856.71144945,3787294.78366517,4637557.69175146
304.300239562989,3.0699888,873031.058897115,236766.460158208,972303.649407653,1214242.66507359,703665.561137743
304.970092773438,6.53201085,586420.452863085,NA,NA,718255.467793389,NA
305.011779785156,6.57091325,NA,NA,NA,724891.615072425,660891.066203419
305.157379150391,5.4168994,9185994.0872181,14460760.2308251,2714548.113716,3471603.97489427,14680379.0738009
305.303497314453,0.52859836,NA,335075.819276128,NA,NA,NA
306.160751342773,3.0051537,843141.377412886,783682.261475132,573606.797775893,1749763.07746477,1002627.45730264
306.279518127441,0.70146425,542191.068082032,NA,NA,532056.209701313,NA
307.227127075195,0.31247532,1234010.1070501,1568566.29084339,1790342.10361183,1816921.48688546,1861070.66313529
308.991302490234,6.4974375,4690992.10989822,5561284.70488705,4750370.97038464,4381598.91131531,4703541.08779209
311.104644775391,3.3120467,NA,2175688.41347373,2539212.38853882,NA,2410791.89542463
