"mz","rt","peaktable_1_c4b3914dd90735a33a45120d8df44ff0 intensity","peaktable_2_1b1006ad6cb397288f90b10ef7667b13 intensity","peaktable_3_f4ec1ff27c5417004501f1ddda634b82 intensity","peaktable_4_bf770f1972fab092cbade6df4f371c50 intensity","peaktable_5_4140721552f8eb635981a4efba2257d6 intensity"
239.070495605469,6.70077825,282077.585206109,163335.389681398,168095.217657664,404810.86183712,430775.271152366
239.107208251953,6.5665961,748377.841204733,790301.456175883,641847.067783475,750944.901701608,675531.105775169
239.149368286133,1.08396658,384792.851358534,459871.769205075,650643.565944169,415451.218692026,351093.583305408
240.027816772461,0.42269166,697713.72642038,317515.345844108,574639.741041952,477799.332255558,573029.542726722
240.028289794922,6.6940979,384562.26112213,357688.091877316,412510.474331611,420323.752300831,597586.858877172
240.065734863281,6.7310367,356668.36996554,304417.73030597,396749.158920941,511676.07650789,374278.862930532
240.232559204102,0.331928025,1602451.95657539,1592055.99118401,1729044.55004807,172067.280224386,1615028.78065149
241.026031494141,1.0429106,426933.764335698,465882.646507851,437983.195511473,526978.185137808,677214.426179147
241.036102294922,6.7874287,354476.956913977,138087.112181285,176033.212966675,NA,1767141.05486815
241.049667358398,0.863546065,319413.981088514,398405.651684753,407202.364203649,547019.408140188,321609.37298303
241.086334228516,4.08352625,5880730.16575006,3958500.09255387,5889033.28220366,5246002.63132279,6073351.4501389
241.122505187988,3.4892341,469402.442500088,549661.309702737,540744.856903669,971610.653105381,4647701.93917575
242.0234375,0.52426513,168911.461479861,200470.07908572,167526.507956823,192372.396134763,NA
242.089660644531,0.75549874,458614.714324844,383221.476117231,431414.923062856,463161.048540061,439082.776083963
242.126083374023,6.57307165,853562.46104221,864499.194009533,166186.329875215,884639.498705218,855211.542442344
242.962097167969,0.21306963,534004.29516183,468552.44344562,472801.465889662,NA,NA
243.119216918945,6.6789697,339783.676236281,341669.626290588,160368.819197047,232735.065429623,313585.573060845
243.207229614258,6.5665945,345007.383646369,138740.44662527,211358.031993306,201651.419288066,229833.278356502
244.13988494873,6.5730726,324452.760628849,312821.223212929,1804021.93906951,170983.202147232,306541.187320816
244.932746887207,6.6098063,90536.1715004433,344543.167011389,255252.532518969,311946.717156211,260477.16008689
244.954376220703,6.1041201,38296297.8674112,37474942.6289077,5953563.22075797,4769630.60652901,364737.118181871
245.079437255859,6.6487136,440562.709270358,177296.361247101,402608.048005757,280950.273241418,347737.988505362
