"mz","rt","peaktable_1_a0d25fef67532f42501b07e27fab8747 intensity","peaktable_2_153437c90d223ce0da85ff0c50cf80e3 intensity","peaktable_3_efa6f65476b7343e5481e46df0b1846c intensity","peaktable_4_42513057733130ad46e2365204c0487c intensity","peaktable_5_040d565d8e12fd6f47dce862588b8ddb intensity"
242.089477539062,1.0426525,756390.171282324,1413128.4557419,734199.533761824,894121.93090231,902802.81286358
242.125785827637,1.5988379,703539.36705061,698272.706795704,786711.150122943,901068.700001439,740183.262948102
243.119293212891,2.0347016,720627.164625142,732903.990181596,792292.3377412,777977.180809006,809225.793456523
244.139583587646,1.6186776,704888.154592977,2234594.53994147,2510460.22934268,2209369.28005144,771330.587799928
244.95414352417,1.84677475,12844441.2663876,14089726.6812799,12688650.6820223,4514700.00758437,5313658.368714
245.079139709473,2.075755,686301.401723882,631389.61301386,623913.853759524,635138.766788907,671826.997278961
245.141586303711,2.0133944,753776.622236883,742572.984941344,683925.562663266,776497.584830038,725961.942055967
246.137161254883,2.0297955,757921.869673728,798667.944753986,667842.856649925,734383.011125252,717121.232297581
246.951202392578,1.8321404,1573635.51939487,1125615.33997514,1700822.07435041,4175749.17206194,4619362.05700443
247.004180908203,1.7901616,1747782.30190604,1458760.24008399,1759747.11539559,1067292.73867156,721409.643453002
250.941757202148,2.0587755,536927.519746287,NA,396217.33822357,NA,384706.112111907
250.949462890625,2.0054672,NA,NA,NA,NA,461556.800656616
252.019775390625,1.5660691,355628.366638804,NA,NA,341099.40065161,326424.504740786
258.1015625,1.6922678,698335.372733297,353494.565420976,479194.153877531,558596.51683716,400566.288243211
258.137939453125,1.73789985,1582407.63486403,815587.749892217,1109389.7473844,1014303.05466356,826843.611354047
258.138061523438,1.5179207,NA,NA,NA,839328.048564709,NA
259.096710205078,2.0166643,370998.782323664,NA,NA,NA,NA
260.080841064453,1.7244408,480117.099372679,912364.064946633,856937.308874601,864423.250438687,866115.406699381
260.1171875,1.8311904,17303793.4374671,657847.985844408,489690.577584411,1250494.67833859,6946932.39826053
260.153533935547,1.838706,16647847.5710876,6564077.06306923,9589948.35118799,12499651.6024988,16940950.2189581
261.120574951172,1.7677537,1852966.28843845,833829.268059818,1036453.55517867,1805459.77150627,1673661.51197991
261.130981445312,1.7999966,3549367.97409841,3486463.20431372,2570474.03471241,3057679.9536775,2208462.88482976
261.156829833984,1.8002614,589721.930436165,1043934.11219962,1730327.87679112,1415319.09722948,1630112.83831486
262.150054931641,2.0054672,430615.577121,459289.310882082,435035.137040933,480261.235283457,542135.448400923
262.98169708252,1.47121665,3167762.09891311,4655839.51734376,4158476.66147474,5042281.67296726,4276381.91183288
263.170562744141,1.7568768,1926401.43617315,973704.026126275,1213304.55669609,929921.812851609,580921.239475501
263.985198974609,1.9954035,367360.777365842,717495.016866909,562883.388005109,303476.862791135,645161.178608908
267.96826171875,2.0494924,1196640.60536599,1069181.20521563,1163587.92318943,687736.862573158,953368.038064449
268.998626708984,1.81873715,10723848.2635157,12237967.2030513,6628786.32172946,12320613.4783283,8831159.38777572
269.279571533203,1.9980745,NA,602708.519328633,NA,NA,NA
269.966400146484,2.0579923,1171453.83990068,727731.120978676,904088.825441044,628429.721322072,927352.63265402
270.002014160156,1.6071163,6015927.00285787,769736.151823242,791971.492046362,585448.626317257,442710.628803419
271.002960205078,1.9875282,1317661.00056192,1241219.08279763,1568060.04525455,2914079.19122028,1091752.55741667
271.003250122071,1.54238145,NA,940415.297403329,1151180.60978738,1187928.08303283,567132.268114779
271.050720214844,1.7983621,328803.079429525,1822351.31078451,NA,710505.807791298,2236615.05856589
271.973037719727,1.8262597,3112742.63204222,1979782.02066815,1983400.42171049,2926701.91824122,1931327.49417769
273.167449951172,1.8109394,1238352.69141398,1571198.31242663,547467.159074203,2723861.10423225,1839567.68889548
277.168792724609,1.996967,734725.383487595,562821.517840882,NA,671970.545404943,NA
279.093643188477,1.091877295,1056316.81971729,751426.368553697,629308.250314683,601839.607091915,714267.650797268
279.148010253906,1.8303826,NA,NA,3642217.01595338,3562098.92999512,3615238.02915994
279.148139953614,1.82462495,593080.476620694,797480.455599841,504589.596858798,4377819.234765,4420189.68525517
279.184455871582,1.8400156,3434768.63540147,3536386.91313169,1829801.07321722,2917848.94897106,3045447.65438204
280.954147338868,1.83968695,379370.353455516,NA,346373.788304438,NA,NA
