"mz","rt","peaktable_1_b7395992449dfd483a9252839606b237 intensity","peaktable_2_9088c9bb03b996378922c647cf074a20 intensity","peaktable_3_dcc2459184097df9045af661688f5c8a intensity","peaktable_4_8e9143ab92bc68bcc4b903e5bf1abe62 intensity","peaktable_5_160fc6371b5d43397f685b6d8d718fdb intensity"
222.005523681641,1.23906223,595180.129554547,451662.129472268,859042.797489121,897274.687712515,668790.616652414
222.055450439453,1.11208365,2217554.1045907,11041076.4024013,16119798.9766286,13100238.4401808,2740525.47334725
222.091873168945,1.0921366,2202620.31789775,2455208.60908973,2667008.29395927,2138335.08910659,4365347.07507829
222.221664428711,1.9337058,325524.501710955,410108.026939992,NA,277575.375543445,364636.027204876
222.90693283081,1.93698835,939746.091863577,987824.451394831,891218.666276108,271761.274741816,889934.952937265
223.052642822266,0.48659613,141656.498049814,121540.960569326,172338.997197755,184673.262326462,146342.843773782
223.058765411377,0.6343951,1148023.11736761,981390.027184343,1406200.96188265,1069780.09850015,1247834.2559242
223.094680786133,0.586249235,170687.565886895,138130.270845758,261235.754835848,431322.331556077,201539.227155697
223.095344543457,0.571989025,NA,NA,152326.476043071,414798.45037814,457180.491407198
223.132270812988,0.073639223,380998.045155004,380900.95485465,215631.022446726,308350.656098629,250068.095501345
223.139232635498,0.340181805,404746.826932261,694641.605897903,381690.844301232,593511.146457959,134217.757531662
223.148345947266,0.54790801,572902.396959304,303112.740545736,487528.68779102,637932.006127214,522208.195755029
223.156135559082,0.69896219,855156.769791101,1410619.62659719,2904938.45518432,2790357.14556804,2912904.10377876
223.17280960083,1.19090745,3787232.68176991,11969990.1483634,14946222.5568611,12449523.0205604,4170552.17561678
223.179012298584,1.42496285,5800710.96902458,1509026.84759253,5532542.33862169,1758356.32751602,1630475.64680625
223.186218261719,1.9044437,1584088.46754229,2465552.96993466,1553957.40011735,1036021.99700323,NA
223.217254638672,1.6734614,220340.410657408,289192.308290277,690252.686831672,192668.722905869,273747.947174327
224.025955200195,1.9872584,425153.665875587,520521.58683464,950429.361346101,453405.567906799,537496.429871368
224.051162719727,2.0983824,122510.91893826,84462.942077942,81896.72589678,137805.996931745,110990.924424307
224.088073730469,0.42753157,189900.328156681,181025.258980213,181724.354773119,171087.008363894,174796.838943351
224.12858581543,2.08471715,66564.9340103609,74299.0821921697,48205.419895318,94036.4401396081,140064.374458741
225.072708129883,2.14662095,86873.5225250974,107661.479123836,97805.4166781053,86714.3349766924,90475.0559391406
225.108963012695,0.965402165,1274302.77041152,645855.990666921,711771.253918471,774960.059123775,1098189.38334779
